# Paladin-/Geweihtensystem: Wundertabellen ab Seite 4

| **Typ** | **Name** | **Art** | **Malus** | **Min. Karma** | **RW** | **VD** | **WD** | **Wirkung** | **KPP** |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Allgemeine Wunder | Heiliger Blitz | Stoß | 3 | 1 | (M)x2m | 1sec | P | Das Opfer erleidet W10 + Karma, Heiligen Schaden, Rüstung ignorierend, auf 1 TZ (W30). Das Wunder kann max. (Aura+Karma) W6 zusätzlichen Schaden machen, wenn die Anrufungszeit um 2sec verlängert wird. Dämonen und Untote werden immer Getroffen. | 15 |
| Allgemeine Wunder | Heiliger Bolzen | Stoß | 4 | 1 | (M)x10m | 1sec | P | Aus dem Nichts schießt ein weißer Blitz mit 40m/s auf sein Ziel zu. Das Opfer hat eine Glücks-Probe. Schaden nur auf Dämonen oder Untote. Auf 1 TZ (W30) : 2W12 + Magie + Karma, Heiliger Schaden, RB=unendlich | 25 |
| Allgemeine Wunder | Heilige Wand | Wunder | 13 | 3 | (M)/30m | 1min | Max: (M)*min | Eine Wand aus Licht, von Lichtblitzen durchzuckt, breitet sich vor dem Kleriker aus. Sie ist W6 + (Aura+Karma) Meter breit und Macht x Meter hoch. Die Wand ist nur von Heilig/Heiligen passierbar. Jeder, der die Wand mit einer TZ berührt, erleidet auf diese TZ 2W12 Heiligen Schaden . Durchdringt alle unbelebte Materie. | 120 |
| Allgemeine Wunder | Heilige Welle | Stoß | 12 | 5 | (M) m | 1sec | P | Vom Kleriker aus fährt eine nur durch Lichtreflexionen zu erkennende Welle kugelförmig in alle Richtungen. Alle Dämonen und Untoten, die von der Welle erfasst werden erleiden: 2W6 + Karma + aufgeladene W6 (maximal Aura +Karma weitere W6), Heiligen Schaden, RB=0, auf jede TZ (1x für alle Würfeln). Für jeden zusätzlichen W6 an TP verlängert sich die Anrufung um 2sec. Jedes Opfer muss eine SB-Probe erschwert um den Gesamtschaden des Zaubers ablegen. | 115 |
| Allgemeine Wunder | Heiliger Strahl | Stoß | 12 | 4 | (M)/2m | 1sec | 2+(Aura +Karma) *2sec | Aus den Händen des Kleriker schießt ein leuchtender, von Blitzen umrahmter Strahl, der 2W20 + (Aura + Karma) Heiligen Schaden auf 1 TZ (W30) macht. Der Strahl ist schwenkbar. Der Kleriker kann den Strahl max. (Aura + Karma) sec aufrechterhalten. | 60 |
| Allgemeine Wunder | Heiliges Land | Ritual | 20 | 6 | (M) x Aura x Karma x 10m Radius | 1h | Aura *Karma *Std | Das Land um den Kleriker herum erstrahlt göttlich hell. Während der Wirkungsdauer schweben göttliche Lichter durch das Wirkungsgebiet. Die Kosten für das Rufen eines Avatars werden halbiert. Die Wahrscheinlichkeit, dass eine Gottheit erscheint, verdoppelt sich. Jedes nicht lebendige Wesen im Radius erhält 2W12 Heiligen Schaden pro KR auf jede TZ, jegliche Rüstung ignorierend; fliegende Dämonen/Untote können sich nicht schützen. | 325 |
| Allgemeine Wunder | Avatar rufen | Ritual | 25 | 7 | Aura+ Karma | 1h | Beliebig<br>1KPP pro Min | Der Kleriker erfleht den unmittelbaren Beistand seiner Gottheit. Gelingt die Anrufung, so erscheint mit mächtigen Tramram ein gigantischer (oder auch nicht, je nach Situation) Avatar, der den Willen des Gottes vollstreckt. Der Avatar ist unaufhaltsam und kann ganze Armeen im in Sekunden auslöschen. Allerdings weckt ein solch drastisches Eingreifen einer Gotteit immer die Aufmerksamkeit der anderen Gottheiten, die gegebenenfalls intervenieren. (Meisterentscheid) | 425 |
| Allgemeine Wunder | Weihe | Stoß | 13 | 3 | (M)/7m | 1Sec | (M)*sec | Eine Zone mit einem Radius von (M)/10m um den Kleriker wird geweiht. Diese Zone bewegt sich nicht mit dem Kleriker mit. Befindet sich ein Untoter oder Dämon in dieser Zone oder berührt sie, so ist JEDER Schaden, der gegen ihn gewirkt wird, mit dem Zusatzeffekt „Gesegnet“ versehen. Das gilt auch für den Pfeil, der von einem 150m entfernten Bogenschützen abgeschossen wurde. | 60 |
| Allgemeine Wunder | Wasser weihen | Wunder | 10 | 2 | B | 1Minute | 777 Jahre | Der Kleriker kann bis zu Karma Liter Wasser in Weihwasser verwandeln. Dieses Wasser ist danach vollkommen rein und sauber. Jegliche Krankheitserreger oder Giftstoffe sind verschwunden. Wenn man es trinkt, entsteht ein angenehmes Gefühl. Das Weihwasser wirkt bei Untoten und Dämonen wie hoch konzentrierte Schwefelsäure. Sie verursacht 1W8 Heiligen Schaden pro Sekunde, solange der Untote/ Dämon sie auf irgendeine Weise berührt. Dieser Schaden ist auch bei Untoten als permanenter Schaden anzusehen, senkt also nachhaltig die Todesschwelle so als wäre es eine normale Lebensenergie.<br>Das Weihwasser kann auch in Spritzern verwendet werden. Jeder Tropfen macht maximal 1W8 Schaden und ist dann verbraucht. Der Liter macht also maximal 200W8 Schaden. Egal, wie viel Weihwasser den Untoten berührt, es werden immer nur 1W8 pro TZ und Sec angerechnet…..<br>Geweihtes Wasser ist 777Jahre lang haltbar….im Verkauf kostet es 5D pro Liter. Die Zwerge brauen daraus das sogenannte „Weihbräu“ das 8D pro Liter kostet.<br>Wird es konsumiert, so bekommt der Konsument 1 Punkt Gesundheit pro Liter wieder hergestellt. Danach erlischt die Wirkung von Weihwasser und es wird wieder zu normalen Wasser. 1 Liter Weihwasser kann in bis zu 25 „Kurze“ aufgeteilt werden. | 10 |
| Allgemeine Wunder | GegenstandSegnen | Ritual | 12 | 5 | B | 1Std | 777Jahre | Ein Gegensand oder eine Waffe machen ab sofort Gesegneten schaden. x2 gegen Untote und x5 gegen Dämonen. Außerdem erhöht sich die Stabilität um 5 und ignoriert Magische schilde. | 220 |
| Allgemeine Wunder | Gegenstand Heilig sprechen | Ritual | 15 | 7 | B | 7Std | P | Ein Gegensand oder eine Waffe machen ab sofort Heiligen schaden. x5 gegen Untote und x10 gegen Dämonen. Außerdem erhöht sich die Stabilität um 15 und ignoriert Magische schilde. | 395 |
| Allgemeine Wunder | Heilige Sicht | Stoß | 12 | 1 | Sicht Unmagisch verstärkt | 1Sec | Karma *sec | ALLE heiligen Auren von Lebewesen oder Gegenständen werden für den Kleriker deutlich sichtbar. | 20 |
| Allgemeine Wunder | Heilige Rüstung | Stoß | 11 | 3 | (M)*m | 1sec | Karma * 5min | Maximal (M)/2 befreundete Ziele (inklusive des Klerikers selbst) nach Wahl des Klerikers werden in eine heilige Rüstung eingehüllt, die optische Erscheinung entspricht dabei den Vorstellungen des Gottes, der sie wirkt. Die Heilige Rüstung bewirkt eine Erhöhung des Rüstungsschutzes auf allen TZ (auch gegen kritische Treffer) von Karma in Punkten. | Karma * 10 |
| Lloth | Kugel der Dunkelheit | Stoß | 13 | 3 | Selbst | 1sec | Karma *2min | Der Kleriker taucht die Umgebung in absolute Dunkelheit. Diese Dunkelheit bildet eine Kugel von Karma*2 Meter Radius um den Kleriker. Jeder, der sich in dieser Kugel befindet, erleidet eine effektive Behinderung von 10. Von außen ist die Kugel nicht einsehbar; Schützen, die ein Ziel in der Kugel treffen wollen, dürfen eine Glücksprobe würfeln, ob sie überhaupt etwas treffen. Der Kleriker selbst sieht in dieser Dunkelheit, wie wenn er sich in dichtem Nebel befinden würde, wodurch er eine effektive Behinderung von 4 erleidet. Die Dunkelheit ist statisch (NICHT statisch geladen!). | 70 |
| Lloth | Fluch der Lloth | Stoß | 13 | 4 | (M)m | 1sec | Karma *min | Vom Kleriker gehen kaum sichtbare, scheinbar aus schwarzem Nebel bestehende, tentakelartige Finger aus, die Karma/3 feindliche Ziele umschlingen und an ihrer Bewegung hindern. Dies führt zu einer Behinderung von Karma. | 80 |
| Lloth | Rache der Lloth | Stoß | 13 | 2 | Selbst | 1sec | Karma *2min | Lloth rächt jeglichen Schaden, der ihrem Kleriker zugefügt wird augenblicklich, indem sie dem Angreifer die Hälfte (aufgerundet) des vom Kleriker erlittenen Schadens verursacht. Dieser Schaden trifft die gleiche TZ wie beim Kleriker und ignoriert sämtliche Schutzmechanismen wie Rüstungen oder magische Schilde.<br>„Lloth mag ihre Kleriker nicht schützen, aber sie hasst es, wenn andere ihr Eigentum beschädigen.“ – Salfalur Schildbrech, zwergischer Paladin, nach Verlust seines linken Auges. | 60 |
